,Cast Number,Scan,Station,Depth,Salinity,Temperature,Sigma Theta Density,O2 SB 43 mg/L,O2 % Saturation,Corrected Chlorophyll,Turbidity (SCUFA),Decent Rate
233,3,270788,SR03,0.657,8.507,22.5037,4.0775,4.4507,53.988,9.7076,0.5137,0.093
234,3,270789,SR03,0.682,8.4583,22.5032,4.041,4.4578,54.059,9.8541,0.5151,0.14
235,3,270790,SR03,0.716,8.4403,22.503,4.0275,4.4662,54.154,9.8328,0.5164,0.162
236,3,270791,SR03,0.753,8.45,22.5026,4.0349,4.4718,54.224,9.7706,0.5152,0.169
237,3,270792,SR03,0.786,8.4297,22.5025,4.0196,4.4788,54.304,9.8175,0.5133,0.168
238,3,270793,SR03,0.814,8.4227,22.5031,4.0142,4.4842,54.366,9.8028,0.5025,0.162
239,3,270794,SR03,0.837,8.5671,22.5035,4.1228,4.485,54.422,9.7876,0.5059,0.155
240,3,270795,SR03,0.857,8.7266,22.5046,4.2426,4.4831,54.45,9.8572,0.5157,0.149
241,3,270796,SR03,0.881,8.8525,22.5067,4.3368,4.481,54.467,9.6229,0.5131,0.145
242,3,270797,SR03,0.909,8.9249,22.5094,4.3907,4.4799,54.479,9.289,0.509,0.144
243,3,270798,SR03,0.938,8.9478,22.5131,4.407,4.4801,54.493,9.1341,0.5143,0.144
244,3,270799,SR03,0.963,8.9319,22.5163,4.3942,4.4802,54.492,9.1771,0.5161,0.146
245,3,270800,SR03,0.984,8.931,22.5177,4.3933,4.4789,54.477,9.2486,0.5033,0.146
246,3,270801,SR03,1.006,8.9633,22.5182,4.4175,4.4794,54.494,9.2576,0.5107,0.147
247,3,270802,SR03,1.03,8.962,22.519,4.4163,4.478,54.477,9.2384,0.5167,0.153
248,3,270803,SR03,1.06,9.0387,22.52,4.4737,4.4729,54.44,8.9331,0.5122,0.165
249,3,270804,SR03,1.087,8.993,22.5214,4.439,4.4737,54.438,8.7799,0.5067,0.178
250,3,270805,SR03,1.114,9.0862,22.522,4.509,4.4699,54.421,8.8461,0.5041,0.188
251,3,270806,SR03,1.152,9.6101,22.5236,4.9029,4.4534,54.386,8.7794,0.5121,0.195
252,3,270807,SR03,1.193,9.9368,22.5306,5.147,4.4383,54.312,8.6129,0.5098,0.197
253,3,270808,SR03,1.226,9.9732,22.5389,5.1723,4.426,54.182,8.4965,0.5071,0.193
254,3,270809,SR03,1.258,9.9642,22.5444,5.1642,4.4113,54.004,8.4502,0.509,0.185
255,3,270810,SR03,1.292,10.0164,22.5472,5.2028,4.3896,53.757,8.4412,0.5172,0.177
256,3,270811,SR03,1.32,10.1936,22.5486,5.3358,4.3599,53.449,8.4456,0.5164,0.175
257,3,270812,SR03,1.342,10.2151,22.5497,5.3517,4.3339,53.138,8.4266,0.5066,0.178
258,3,270813,SR03,1.367,10.1596,22.55,5.3099,4.3126,52.861,8.4181,0.5162,0.182
259,3,270814,SR03,1.402,10.2179,22.5499,5.3538,4.2907,52.61,8.6557,0.5141,0.19
260,3,270815,SR03,1.442,10.311,22.5499,5.4238,4.2715,52.403,9.1583,0.5094,0.198
261,3,270816,SR03,1.477,10.4157,22.5494,5.5027,4.2536,52.214,9.2487,0.506,0.203
